enrollee_id,city,city_development_index,gender,relevant_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,Xgrp
8949.0,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,,,1,36.0,1.0,train
29725.0,city_40,0.7759999999999999,Male,No relevant experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,47.0,0.0,train
11561.0,city_21,0.624,,No relevant experience,Full time course,Graduate,STEM,5,,,never,83.0,0.0,train
33241.0,city_115,0.789,,No relevant experience,,Graduate,Business Degree,<1,,Pvt Ltd,never,52.0,1.0,train
666.0,city_162,0.767,Male,Has relevant experience,no_enrollment,Masters,STEM,>20,50-99,Funded Startup,4,8.0,0.0,train
21651.0,city_176,0.764,,Has relevant experience,Part time course,Graduate,STEM,11,,,1,24.0,1.0,train
28806.0,city_160,0.92,Male,Has relevant experience,no_enrollment,High School,,5,50-99,Funded Startup,1,24.0,0.0,train
402.0,city_46,0.762,Male,Has relevant experience,no_enrollment,Graduate,STEM,13,<10,Pvt Ltd,>4,18.0,1.0,train
27107.0,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,46.0,1.0,train
699.0,city_103,0.92,,Has relevant experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,>4,123.0,0.0,train
29452.0,city_21,0.624,,No relevant experience,Full time course,High School,,2,,,never,32.0,1.0,train
23853.0,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,5,5000-9999,Pvt Ltd,1,108.0,0.0,train
25619.0,city_61,0.913,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,3,23.0,0.0,train
5826.0,city_21,0.624,Male,No relevant experience,,,,2,,,never,24.0,0.0,train
8722.0,city_21,0.624,,No relevant experience,Full time course,High School,,5,,,never,26.0,0.0,train
6588.0,city_114,0.926,Male,Has relevant experience,no_enrollment,Graduate,STEM,16,10/49,Pvt Ltd,>4,18.0,0.0,train
